startT,endT,startT_sec,endT_sec,duration,interval,interface,reason,route
2016 Aug  2 13:37:21,2016 Aug  2 13:37:23,1470145041.0,1470145043.0,2.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:53:45,2016 Aug  2 14:53:45,1470149625.0,1470149625.0,0.0,4582.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:55:43,2016 Aug  2 14:55:44,1470149743.0,1470149744.0,1.0,118.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:55:44,2016 Aug  2 14:55:44,1470149744.0,1470149744.0,0.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:55:45,2016 Aug  2 14:55:46,1470149745.0,1470149746.0,1.0,1.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:55:46,2016 Aug  2 14:55:46,1470149746.0,1470149746.0,0.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:56:04,2016 Aug  2 14:56:04,1470149764.0,1470149764.0,0.0,18.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:56:42,2016 Aug  2 14:56:42,1470149802.0,1470149802.0,0.0,38.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:56:42,2016 Aug  2 14:56:43,1470149802.0,1470149803.0,1.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:56:43,2016 Aug  2 14:56:43,1470149803.0,1470149803.0,0.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:56:44,2016 Aug  2 14:56:44,1470149804.0,1470149804.0,0.0,1.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:56:44,2016 Aug  2 14:56:45,1470149804.0,1470149805.0,1.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:56:45,2016 Aug  2 14:56:46,1470149805.0,1470149806.0,1.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:56:46,2016 Aug  2 14:56:46,1470149806.0,1470149806.0,0.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:56:46,2016 Aug  2 14:56:47,1470149806.0,1470149807.0,1.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:56:47,2016 Aug  2 14:56:47,1470149807.0,1470149807.0,0.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:56:47,2016 Aug  2 14:56:48,1470149807.0,1470149808.0,1.0,0.0,1/11,local fault,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:56:48,2016 Aug  2 14:56:49,1470149808.0,1470149809.0,1.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:56:49,2016 Aug  2 14:56:50,1470149809.0,1470149810.0,1.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:56:50,2016 Aug  2 14:56:51,1470149810.0,1470149811.0,1.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:56:51,2016 Aug  2 14:56:51,1470149811.0,1470149811.0,0.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:56:51,2016 Aug  2 14:56:52,1470149811.0,1470149812.0,1.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:56:52,2016 Aug  2 14:56:52,1470149812.0,1470149812.0,0.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:56:54,2016 Aug  2 14:56:55,1470149814.0,1470149815.0,1.0,2.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:56:56,2016 Aug  2 14:56:56,1470149816.0,1470149816.0,0.0,1.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:57:00,2016 Aug  2 14:57:00,1470149820.0,1470149820.0,0.0,4.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:57:00,2016 Aug  2 14:57:01,1470149820.0,1470149821.0,1.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:57:02,2016 Aug  2 14:57:03,1470149822.0,1470149823.0,1.0,1.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:57:04,2016 Aug  2 14:57:04,1470149824.0,1470149824.0,0.0,1.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:57:05,2016 Aug  2 14:57:05,1470149825.0,1470149825.0,0.0,1.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:57:06,2016 Aug  2 14:57:06,1470149826.0,1470149826.0,0.0,1.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:57:06,2016 Aug  2 14:57:07,1470149826.0,1470149827.0,1.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:57:07,2016 Aug  2 14:57:07,1470149827.0,1470149827.0,0.0,0.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Aug  2 14:57:09,2016 Aug  2 14:57:10,1470149829.0,1470149830.0,1.0,2.0,1/11,link down,SouthRoute_CHI_TPE_ChiMLXe4
