startT,endT,startT_sec,endT_sec,duration,interval,interface,reason,route
2016 Feb  5 10:14:38,2016 Feb  5 11:22:00,1454667278.0,1454671320.0,4042.0,0.0,1/1,link down,NorthRoute_AMS_CHI_AmsMLXe4
2016 Feb  5 17:36:37,2016 Feb  5 17:38:01,1454693797.0,1454693881.0,84.0,22477.0,1/1,link down,NorthRoute_AMS_CHI_AmsMLXe4
2016 Feb  5 17:41:23,2016 Feb  5 17:43:22,1454694083.0,1454694202.0,119.0,202.0,1/1,link down,NorthRoute_AMS_CHI_AmsMLXe4
2016 Feb  5 17:43:39,2016 Feb  5 17:43:49,1454694219.0,1454694229.0,10.0,17.0,1/1,link down,NorthRoute_AMS_CHI_AmsMLXe4
2016 Feb  5 20:04:42,2016 Feb  5 20:05:52,1454702682.0,1454702752.0,70.0,8453.0,1/1,link down,NorthRoute_AMS_CHI_AmsMLXe4
2016 Feb 23 08:46:43,2016 Feb 23 09:13:38,1456217203.0,1456218818.0,1615.0,1514451.0,1/1,link down,NorthRoute_AMS_CHI_AmsMLXe4
2016 Mar  1 17:39:21,2016 Mar  1 17:44:59,1456853961.0,1456854299.0,338.0,635143.0,1/1,local fault,NorthRoute_AMS_CHI_AmsMLXe4
2016 Mar  1 17:50:11,2016 Mar  1 17:50:13,1456854611.0,1456854613.0,2.0,312.0,1/1,lacp block,NorthRoute_AMS_CHI_AmsMLXe4
2016 Mar  1 17:58:47,2016 Mar  1 17:59:22,1456855127.0,1456855162.0,35.0,514.0,1/1,link down,NorthRoute_AMS_CHI_AmsMLXe4
2016 Mar  1 17:59:32,2016 Mar  1 17:59:59,1456855172.0,1456855199.0,27.0,10.0,1/1,link down,NorthRoute_AMS_CHI_AmsMLXe4
2016 Apr  7 14:21:51,2016 Apr  7 14:21:53,1460038911.0,1460038913.0,2.0,3183712.0,1/1,disabled,NorthRoute_AMS_CHI_AmsMLXe4
2016 May  6 09:30:08,2016 May  6 09:48:45,1462527008.0,1462528125.0,1117.0,2488095.0,1/1,link down,NorthRoute_AMS_CHI_AmsMLXe4
2016 May  6 09:48:45,2016 May  6 09:58:46,1462528125.0,1462528726.0,601.0,0.0,1/1,local fault,NorthRoute_AMS_CHI_AmsMLXe4
2016 May  6 09:58:46,2016 May  6 09:58:47,1462528726.0,1462528727.0,1.0,0.0,1/1,local fault,NorthRoute_AMS_CHI_AmsMLXe4
2016 May  6 10:59:59,2016 May  6 11:00:03,1462532399.0,1462532403.0,4.0,3672.0,1/1,disabled,NorthRoute_AMS_CHI_AmsMLXe4
2016 May 14 12:07:10,2016 May 14 12:07:45,1463227630.0,1463227665.0,35.0,695227.0,1/1,link down,NorthRoute_AMS_CHI_AmsMLXe4
