startT,endT,startT_sec,endT_sec,duration,interval,interface,reason,route
2016 Jan  9 00:13:31,2016 Jan  9 00:13:31,1452298411.0,1452298411.0,0.0,0.0,1/3,local fault,NorthRoute_CHI_AMS_ChiMLXe4
2016 Jan  9 23:53:01,2016 Jan  9 23:53:01,1452383581.0,1452383581.0,0.0,85170.0,1/3,local fault,NorthRoute_CHI_AMS_ChiMLXe4
2016 Jan 11 01:57:55,2016 Jan 11 01:57:55,1452477475.0,1452477475.0,0.0,93894.0,1/3,local fault,NorthRoute_CHI_AMS_ChiMLXe4
2016 Jan 11 11:39:49,2016 Jan 11 11:39:49,1452512389.0,1452512389.0,0.0,34914.0,1/3,local fault,NorthRoute_CHI_AMS_ChiMLXe4
2016 Jan 13 01:30:18,2016 Jan 13 06:09:53,1452648618.0,1452665393.0,16775.0,136229.0,1/3,remote fault,NorthRoute_CHI_AMS_ChiMLXe4
2016 Jan 13 06:21:04,2016 Jan 13 06:27:26,1452666064.0,1452666446.0,382.0,671.0,1/3,link down,NorthRoute_CHI_AMS_ChiMLXe4
2016 Jan 13 06:32:12,2016 Jan 13 06:32:31,1452666732.0,1452666751.0,19.0,286.0,1/3,remote fault,NorthRoute_CHI_AMS_ChiMLXe4
2016 Jan 13 06:40:38,2016 Jan 13 06:40:56,1452667238.0,1452667256.0,18.0,487.0,1/3,remote fault,NorthRoute_CHI_AMS_ChiMLXe4
2016 Jan 13 08:45:53,2016 Jan 13 08:45:53,1452674753.0,1452674753.0,0.0,7497.0,1/3,local fault,NorthRoute_CHI_AMS_ChiMLXe4
2016 Jan 14 03:44:57,2016 Jan 14 03:44:57,1452743097.0,1452743097.0,0.0,68344.0,1/3,local fault,NorthRoute_CHI_AMS_ChiMLXe4
2016 Jan 14 08:55:00,2016 Jan 14 08:55:00,1452761700.0,1452761700.0,0.0,18603.0,1/3,local fault,NorthRoute_CHI_AMS_ChiMLXe4
2016 Jan 14 20:41:43,2016 Jan 14 20:41:43,1452804103.0,1452804103.0,0.0,42403.0,1/3,local fault,NorthRoute_CHI_AMS_ChiMLXe4
