startT,endT,startT_sec,endT_sec,duration,interval,interface,reason,route
2016 Mar  2 00:32:12,2016 Mar  2 10:43:52,1456878732.0,1456915432.0,36700.0,0.0,1/1,link down,NorthRoute_CHI_TPE_ChiMLXe4
2016 Mar  2 10:52:35,2016 Mar  2 10:52:36,1456915955.0,1456915956.0,1.0,523.0,1/1,link down,NorthRoute_CHI_TPE_ChiMLXe4
2016 Mar  8 17:29:17,2016 Mar  8 17:29:18,1457458157.0,1457458158.0,1.0,542201.0,1/1,link down,NorthRoute_CHI_TPE_ChiMLXe4
2016 Mar  8 17:29:18,2016 Mar  8 17:29:19,1457458158.0,1457458159.0,1.0,0.0,1/1,link down,NorthRoute_CHI_TPE_ChiMLXe4
2016 Mar  8 17:29:22,2016 Mar  8 17:36:15,1457458162.0,1457458575.0,413.0,3.0,1/1,link down,NorthRoute_CHI_TPE_ChiMLXe4
2016 Mar 10 00:50:36,2016 Mar 25 11:30:44,1457571036.0,1458905444.0,1334408.0,112461.0,1/1,link down,NorthRoute_CHI_TPE_ChiMLXe4
2016 Jun  4 15:17:38,2016 Jun  4 15:18:54,1465053458.0,1465053534.0,76.0,6148014.0,1/1,link down,NorthRoute_CHI_TPE_ChiMLXe4
2016 Jun  4 16:20:38,2016 Jun  4 16:20:40,1465057238.0,1465057240.0,2.0,3704.0,1/1,link down,NorthRoute_CHI_TPE_ChiMLXe4
2016 Jul  7 01:51:16,2016 Jul  7 01:56:29,1467856276.0,1467856589.0,313.0,2799036.0,1/1,local fault,NorthRoute_CHI_TPE_ChiMLXe4
2016 Jul  9 08:23:48,2016 Jul  9 08:24:17,1468052628.0,1468052657.0,29.0,196039.0,1/1,local fault,NorthRoute_CHI_TPE_ChiMLXe4
2016 Jul  9 09:31:16,2016 Jul  9 09:31:43,1468056676.0,1468056703.0,27.0,4019.0,1/1,local fault,NorthRoute_CHI_TPE_ChiMLXe4
