startT,endT,startT_sec,endT_sec,duration,interval,interface,reason,route
2016 Feb  4 13:31:38,2016 Feb  4 15:05:59,1454592698.0,1454598359.0,5661.0,0.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Feb 17 17:23:11,2016 Mar  3 04:05:13,1455729791.0,1456977913.0,1248122.0,1131432.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar  3 04:05:21,2016 Mar  3 04:05:23,1456977921.0,1456977923.0,2.0,8.0,1/11,lacp block,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar  7 21:55:13,2016 Mar  7 21:55:14,1457387713.0,1457387714.0,1.0,409790.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 10 17:22:49,2016 Mar 10 17:28:02,1457630569.0,1457630882.0,313.0,242855.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 10 22:15:52,2016 Mar 10 22:32:45,1457648152.0,1457649165.0,1013.0,17270.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 10:00:32,2016 Mar 22 10:11:22,1458640832.0,1458641482.0,650.0,991667.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 10:11:23,2016 Mar 22 10:11:23,1458641483.0,1458641483.0,0.0,1.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 10:11:24,2016 Mar 22 10:11:24,1458641484.0,1458641484.0,0.0,1.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 10:11:25,2016 Mar 22 10:11:25,1458641485.0,1458641485.0,0.0,1.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 10:11:26,2016 Mar 22 10:11:26,1458641486.0,1458641486.0,0.0,1.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 10:11:56,2016 Mar 22 11:31:02,1458641516.0,1458646262.0,4746.0,30.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 11:31:03,2016 Mar 22 11:31:04,1458646263.0,1458646264.0,1.0,1.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 11:50:24,2016 Mar 22 12:24:47,1458647424.0,1458649487.0,2063.0,1160.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:24:48,2016 Mar 22 12:47:53,1458649488.0,1458650873.0,1385.0,1.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:47:53,2016 Mar 22 12:48:09,1458650873.0,1458650889.0,16.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:48:09,2016 Mar 22 12:48:15,1458650889.0,1458650895.0,6.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:48:15,2016 Mar 22 12:48:16,1458650895.0,1458650896.0,1.0,0.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:48:16,2016 Mar 22 12:48:40,1458650896.0,1458650920.0,24.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:48:41,2016 Mar 22 12:48:42,1458650921.0,1458650922.0,1.0,1.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:48:42,2016 Mar 22 12:48:43,1458650922.0,1458650923.0,1.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:48:43,2016 Mar 22 12:48:56,1458650923.0,1458650936.0,13.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:48:57,2016 Mar 22 12:48:58,1458650937.0,1458650938.0,1.0,1.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:48:58,2016 Mar 22 12:49:04,1458650938.0,1458650944.0,6.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:49:04,2016 Mar 22 12:49:05,1458650944.0,1458650945.0,1.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:49:05,2016 Mar 22 12:49:11,1458650945.0,1458650951.0,6.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:49:12,2016 Mar 22 12:49:12,1458650952.0,1458650952.0,0.0,1.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:49:12,2016 Mar 22 12:49:13,1458650952.0,1458650953.0,1.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:49:13,2016 Mar 22 12:49:26,1458650953.0,1458650966.0,13.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:49:26,2016 Mar 22 12:49:26,1458650966.0,1458650966.0,0.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:49:27,2016 Mar 22 12:49:27,1458650967.0,1458650967.0,0.0,1.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:49:27,2016 Mar 22 12:49:28,1458650967.0,1458650968.0,1.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:49:28,2016 Mar 22 12:49:29,1458650968.0,1458650969.0,1.0,0.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:49:29,2016 Mar 22 12:49:32,1458650969.0,1458650972.0,3.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:49:32,2016 Mar 22 12:49:32,1458650972.0,1458650972.0,0.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:49:33,2016 Mar 22 12:49:33,1458650973.0,1458650973.0,0.0,1.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:49:33,2016 Mar 22 12:49:36,1458650973.0,1458650976.0,3.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:49:36,2016 Mar 22 12:49:42,1458650976.0,1458650982.0,6.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:49:43,2016 Mar 22 12:49:44,1458650983.0,1458650984.0,1.0,1.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:49:44,2016 Mar 22 12:49:59,1458650984.0,1458650999.0,15.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:49:59,2016 Mar 22 12:50:03,1458650999.0,1458651003.0,4.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:50:03,2016 Mar 22 12:50:04,1458651003.0,1458651004.0,1.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:50:04,2016 Mar 22 12:50:14,1458651004.0,1458651014.0,10.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:50:14,2016 Mar 22 12:50:19,1458651014.0,1458651019.0,5.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:50:19,2016 Mar 22 12:50:20,1458651019.0,1458651020.0,1.0,0.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:50:20,2016 Mar 22 12:50:44,1458651020.0,1458651044.0,24.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:50:44,2016 Mar 22 12:50:46,1458651044.0,1458651046.0,2.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:50:46,2016 Mar 22 12:50:47,1458651046.0,1458651047.0,1.0,0.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:50:47,2016 Mar 22 12:50:54,1458651047.0,1458651054.0,7.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:50:54,2016 Mar 22 12:51:02,1458651054.0,1458651062.0,8.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:51:02,2016 Mar 22 12:51:03,1458651062.0,1458651063.0,1.0,0.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 12:51:03,2016 Mar 22 13:21:57,1458651063.0,1458652917.0,1854.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 13:21:58,2016 Mar 22 16:44:19,1458652918.0,1458665059.0,12141.0,1.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 16:44:19,2016 Mar 22 16:44:19,1458665059.0,1458665059.0,0.0,0.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 16:44:19,2016 Mar 22 16:44:20,1458665059.0,1458665060.0,1.0,0.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 16:44:20,2016 Mar 22 16:44:20,1458665060.0,1458665060.0,0.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 16:44:20,2016 Mar 22 16:44:20,1458665060.0,1458665060.0,0.0,0.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 16:44:20,2016 Mar 22 16:44:21,1458665060.0,1458665061.0,1.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 16:44:21,2016 Mar 22 16:44:21,1458665061.0,1458665061.0,0.0,0.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 16:59:43,2016 Mar 22 20:08:53,1458665983.0,1458677333.0,11350.0,922.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 20:08:54,2016 Mar 22 20:08:54,1458677334.0,1458677334.0,0.0,1.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 20:08:54,2016 Mar 22 20:08:54,1458677334.0,1458677334.0,0.0,0.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 20:08:54,2016 Mar 22 20:08:54,1458677334.0,1458677334.0,0.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 20:08:54,2016 Mar 22 20:08:55,1458677334.0,1458677335.0,1.0,0.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 20:08:55,2016 Mar 22 20:08:55,1458677335.0,1458677335.0,0.0,0.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 20:08:55,2016 Mar 22 20:08:55,1458677335.0,1458677335.0,0.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 20:08:56,2016 Mar 22 20:08:56,1458677336.0,1458677336.0,0.0,1.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 20:08:56,2016 Mar 22 20:08:56,1458677336.0,1458677336.0,0.0,0.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 20:08:56,2016 Mar 22 20:08:56,1458677336.0,1458677336.0,0.0,0.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 20:08:57,2016 Mar 22 20:08:57,1458677337.0,1458677337.0,0.0,1.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 20:08:57,2016 Mar 22 20:08:57,1458677337.0,1458677337.0,0.0,0.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 20:08:57,2016 Mar 22 20:08:57,1458677337.0,1458677337.0,0.0,0.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 20:08:57,2016 Mar 22 20:08:57,1458677337.0,1458677337.0,0.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 20:08:58,2016 Mar 22 20:08:58,1458677338.0,1458677338.0,0.0,1.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 20:08:58,2016 Mar 22 20:08:58,1458677338.0,1458677338.0,0.0,0.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 20:08:58,2016 Mar 22 20:08:59,1458677338.0,1458677339.0,1.0,0.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 20:08:59,2016 Mar 22 20:08:59,1458677339.0,1458677339.0,0.0,0.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 20:08:59,2016 Mar 22 20:08:59,1458677339.0,1458677339.0,0.0,0.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 20:08:59,2016 Mar 22 20:08:59,1458677339.0,1458677339.0,0.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 20:09:00,2016 Mar 22 20:09:00,1458677340.0,1458677340.0,0.0,1.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 20:09:00,2016 Mar 22 20:09:00,1458677340.0,1458677340.0,0.0,0.0,1/11,local fault,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 20:09:00,2016 Mar 22 20:09:00,1458677340.0,1458677340.0,0.0,0.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
2016 Mar 22 20:26:23,2016 Mar 22 20:26:23,1458678383.0,1458678383.0,0.0,1043.0,1/11,link down,SouthRoute_AMS_CHI_AmsMLXe4
