startT,endT,startT_sec,endT_sec,duration,interval,interface,reason,route
2016 Jan 21 11:06:14,2016 Jan 21 11:06:14,1453374374.0,1453374374.0,0.0,0.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Feb  9 09:42:15,2016 Feb  9 09:42:16,1455010935.0,1455010936.0,1.0,1636561.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Feb  9 09:42:19,2016 Feb  9 09:42:19,1455010939.0,1455010939.0,0.0,3.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Feb  9 09:42:20,2016 Feb  9 09:42:21,1455010940.0,1455010941.0,1.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Feb  9 09:42:22,2016 Feb  9 09:42:22,1455010942.0,1455010942.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Feb 10 14:01:27,2016 Feb 10 14:19:27,1455112887.0,1455113967.0,1080.0,101945.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Feb 10 14:19:45,2016 Feb 10 14:19:48,1455113985.0,1455113988.0,3.0,18.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Feb 10 14:20:12,2016 Feb 10 14:20:14,1455114012.0,1455114014.0,2.0,24.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Feb 13 02:26:58,2016 Feb 13 02:28:32,1455330418.0,1455330512.0,94.0,216404.0,1/2,local fault,SouthRoute_CHI_TPE_ChiMLXe4
2016 Feb 20 22:06:08,2016 Feb 21 05:58:24,1456005968.0,1456034304.0,28336.0,675456.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Feb 24 02:40:45,2016 Feb 24 03:34:38,1456281645.0,1456284878.0,3233.0,247341.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar  5 01:48:27,2016 Mar  5 01:48:27,1457142507.0,1457142507.0,0.0,857629.0,1/2,local fault,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar  5 01:48:28,2016 Mar  5 01:48:28,1457142508.0,1457142508.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 10 21:54:47,2016 Mar 10 22:07:43,1457646887.0,1457647663.0,776.0,504379.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 15 09:30:01,2016 Mar 15 09:34:22,1458034201.0,1458034462.0,261.0,386538.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 15 09:34:22,2016 Mar 15 09:34:22,1458034462.0,1458034462.0,0.0,0.0,1/2,remote fault,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 15 09:37:13,2016 Mar 15 09:37:18,1458034633.0,1458034638.0,5.0,171.0,1/2,remote fault,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 15 09:40:36,2016 Mar 15 09:40:45,1458034836.0,1458034845.0,9.0,198.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 15 09:46:10,2016 Mar 15 09:46:10,1458035170.0,1458035170.0,0.0,325.0,1/2,local fault,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 15 09:47:29,2016 Mar 15 09:54:22,1458035249.0,1458035662.0,413.0,79.0,1/2,remote fault,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 15 22:08:32,2016 Mar 15 22:11:25,1458079712.0,1458079885.0,173.0,44050.0,1/2,local fault,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 15 22:19:16,2016 Mar 15 22:19:16,1458080356.0,1458080356.0,0.0,471.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 15 22:29:31,2016 Mar 15 22:29:31,1458080971.0,1458080971.0,0.0,615.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 15 22:33:22,2016 Mar 15 22:34:44,1458081202.0,1458081284.0,82.0,231.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 16 04:41:55,2016 Mar 16 05:46:22,1458103315.0,1458107182.0,3867.0,22031.0,1/2,local fault,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 16 08:39:05,2016 Mar 16 09:48:34,1458117545.0,1458121714.0,4169.0,10363.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 16 10:06:02,2016 Mar 16 10:06:02,1458122762.0,1458122762.0,0.0,1048.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 16 11:36:09,2016 Mar 16 11:36:09,1458128169.0,1458128169.0,0.0,5407.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 16 11:52:56,2016 Mar 16 11:52:56,1458129176.0,1458129176.0,0.0,1007.0,1/2,local fault,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 16 11:54:47,2016 Mar 16 11:54:47,1458129287.0,1458129287.0,0.0,111.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 16 11:54:54,2016 Mar 16 11:54:54,1458129294.0,1458129294.0,0.0,7.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 16 12:00:16,2016 Mar 16 12:00:16,1458129616.0,1458129616.0,0.0,322.0,1/2,local fault,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 17 10:33:21,2016 Mar 17 10:34:09,1458210801.0,1458210849.0,48.0,81185.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 22 09:31:28,2016 Mar 22 09:37:07,1458639088.0,1458639427.0,339.0,428239.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 22 09:39:26,2016 Mar 22 21:53:49,1458639566.0,1458683629.0,44063.0,139.0,1/2,local fault,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 22 22:22:59,2016 Mar 22 23:31:52,1458685379.0,1458689512.0,4133.0,1750.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 22 23:31:53,2016 Mar 22 23:31:53,1458689513.0,1458689513.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 22 23:31:54,2016 Mar 22 23:31:54,1458689514.0,1458689514.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 22 23:31:55,2016 Mar 22 23:31:55,1458689515.0,1458689515.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 22 23:33:52,2016 Mar 22 23:33:52,1458689632.0,1458689632.0,0.0,117.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 00:13:55,2016 Mar 23 00:13:55,1458692035.0,1458692035.0,0.0,2403.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 00:43:53,2016 Mar 23 00:43:54,1458693833.0,1458693834.0,1.0,1798.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 00:44:10,2016 Mar 23 00:44:10,1458693850.0,1458693850.0,0.0,16.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 00:46:14,2016 Mar 23 00:46:16,1458693974.0,1458693976.0,2.0,124.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 00:46:16,2016 Mar 23 00:46:17,1458693976.0,1458693977.0,1.0,0.0,1/2,local fault,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 00:46:41,2016 Mar 23 00:46:41,1458694001.0,1458694001.0,0.0,24.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 00:47:21,2016 Mar 23 00:47:22,1458694041.0,1458694042.0,1.0,40.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 00:47:33,2016 Mar 23 00:47:33,1458694053.0,1458694053.0,0.0,11.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 00:47:38,2016 Mar 23 00:47:38,1458694058.0,1458694058.0,0.0,5.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 00:47:39,2016 Mar 23 00:47:39,1458694059.0,1458694059.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 00:47:40,2016 Mar 23 00:47:40,1458694060.0,1458694060.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 00:47:45,2016 Mar 23 00:47:46,1458694065.0,1458694066.0,1.0,5.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
2016 Mar 23 00:47:51,2016 Mar 23 00:47:51,1458694071.0,1458694071.0,0.0,5.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4
