startT,endT,startT_sec,endT_sec,duration,interval,interface,reason,route
2016 Jan 21 10:42:20,2016 Jan 21 11:06:14,1453372940.0,1453374374.0,1434.0,0.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Jan 29 02:17:28,2016 Jan 29 08:24:44,1454033848.0,1454055884.0,22036.0,659474.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Jan 29 08:26:44,2016 Jan 29 08:27:04,1454056004.0,1454056024.0,20.0,120.0,2/2,lacp block,SouthRoute_TPE_CHI_TpeMLXe4
2016 Feb  9 09:38:38,2016 Feb  9 09:41:23,1455010718.0,1455010883.0,165.0,954694.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Feb  9 09:42:16,2016 Feb  9 09:42:16,1455010936.0,1455010936.0,0.0,53.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Feb  9 09:42:16,2016 Feb  9 09:42:17,1455010936.0,1455010937.0,1.0,0.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Feb  9 09:42:17,2016 Feb  9 09:42:18,1455010937.0,1455010938.0,1.0,0.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Feb  9 09:42:18,2016 Feb  9 09:42:18,1455010938.0,1455010938.0,0.0,0.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Feb  9 09:42:19,2016 Feb  9 09:42:19,1455010939.0,1455010939.0,0.0,1.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Feb  9 09:42:19,2016 Feb  9 09:42:20,1455010939.0,1455010940.0,1.0,0.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Feb  9 09:42:20,2016 Feb  9 09:42:21,1455010940.0,1455010941.0,1.0,0.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Feb  9 09:42:21,2016 Feb  9 09:42:23,1455010941.0,1455010943.0,2.0,0.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Feb 10 09:17:25,2016 Feb 10 09:17:25,1455095845.0,1455095845.0,0.0,84902.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Feb 10 14:01:27,2016 Feb 10 14:19:27,1455112887.0,1455113967.0,1080.0,17042.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Feb 10 14:19:45,2016 Feb 10 14:19:48,1455113985.0,1455113988.0,3.0,18.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Feb 13 02:26:58,2016 Feb 13 02:28:31,1455330418.0,1455330511.0,93.0,216430.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Feb 20 22:07:38,2016 Feb 21 05:58:24,1456006058.0,1456034304.0,28246.0,675547.0,2/2,lacp block,SouthRoute_TPE_CHI_TpeMLXe4
2016 Feb 24 02:40:45,2016 Feb 24 03:34:38,1456281645.0,1456284878.0,3233.0,247341.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 10 00:58:29,2016 Mar 10 00:58:56,1457571509.0,1457571536.0,27.0,1286631.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 10 00:59:31,2016 Mar 10 01:02:24,1457571571.0,1457571744.0,173.0,35.0,2/2,link down,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 10 21:54:47,2016 Mar 10 21:56:56,1457646887.0,1457647016.0,129.0,75143.0,2/2,disabled,SouthRoute_TPE_CHI_TpeMLXe4
2016 Mar 10 22:06:18,2016 Mar 10 22:07:43,1457647578.0,1457647663.0,85.0,562.0,2/2,local fault,SouthRoute_TPE_CHI_TpeMLXe4
