startT,endT,startT_sec,endT_sec,duration,interval,interface,    reason,route,netlogtime,nettimediff,netinput,netoutput
2016-03-02 00:32:12,2016 Mar  2 10:43:52,1456878732.0,1456915432.0,36700.0,0.0,1/1,link down,NorthRoute_CHI_TPE_ChiMLXe4,2016-3-02 00:31:08,64.0,19.9508,7.12942
2016-03-02 10:52:35,2016 Mar  2 10:52:36,1456915955.0,1456915956.0,1.0,523.0,1/1,link down,NorthRoute_CHI_TPE_ChiMLXe4,2016-3-02 10:51:38,57.0,12.8451,9.42448
2016-03-08 17:29:17,2016 Mar  8 17:29:18,1457458157.0,1457458158.0,1.0,542201.0,1/1,link down,NorthRoute_CHI_TPE_ChiMLXe4,2016-3-08 17:27:23,114.0,372.461,14.4952
2016-03-08 17:29:18,2016 Mar  8 17:29:19,1457458158.0,1457458159.0,1.0,0.0,1/1,link down,NorthRoute_CHI_TPE_ChiMLXe4,2016-3-08 17:27:23,115.0,372.461,14.4952
2016-03-08 17:29:22,2016 Mar  8 17:36:15,1457458162.0,1457458575.0,413.0,3.0,1/1,link down,NorthRoute_CHI_TPE_ChiMLXe4,2016-3-08 17:27:23,119.0,372.461,14.4952
2016-03-10 00:50:36,2016 Mar 25 11:30:44,1457571036.0,1458905444.0,1334408.0,112461.0,1/1,link down,NorthRoute_CHI_TPE_ChiMLXe4,2016-3-10 00:50:16,20.0,16.6726,5.89976
2016-06-04 15:17:38,2016 Jun  4 15:18:54,1465053458.0,1465053534.0,76.0,6148014.0,1/1,link down,NorthRoute_CHI_TPE_ChiMLXe4,2016-6-04 15:17:12,26.0,0.0,0.0
2016-06-04 16:20:38,2016 Jun  4 16:20:40,1465057238.0,1465057240.0,2.0,3704.0,1/1,link down,NorthRoute_CHI_TPE_ChiMLXe4,2016-6-04 16:15:53,285.0,691.67,47.5546
2016-07-07 01:51:16,2016 Jul  7 01:56:29,1467856276.0,1467856589.0,313.0,2799036.0,1/1,local fault,NorthRoute_CHI_TPE_ChiMLXe4,2016-7-07 01:50:35,41.0,531.499,78.4909
2016-07-09 08:23:48,2016 Jul  9 08:24:17,1468052628.0,1468052657.0,29.0,196039.0,1/1,local fault,NorthRoute_CHI_TPE_ChiMLXe4,2016-7-09 08:19:30,258.0,40.8102,186.025
2016-07-09 09:31:16,2016 Jul  9 09:31:43,1468056676.0,1468056703.0,27.0,4019.0,1/1,local fault,NorthRoute_CHI_TPE_ChiMLXe4,2016-7-09 09:29:43,93.0,135.883,110.702
