startT,endT,startT_sec,endT_sec,duration,interval,interface,    reason,route,netlogtime,nettimediff,netinput,netoutput
2016-03-02 00:32:11,2016 Mar  2 10:43:52,1456878731.0,1456915432.0,36701.0,0.0,1/2,link down,NorthRoute_TPE_CHI_TpeMLXe8,2016-3-02 00:29:15,176.0,7.14617,17.6056
2016-03-02 10:49:01,2016 Mar  2 10:49:02,1456915741.0,1456915742.0,1.0,309.0,1/2,local fault,NorthRoute_TPE_CHI_TpeMLXe8,2016-3-02 10:46:35,146.0,6.26176,13.986
2016-03-02 10:52:23,2016 Mar  2 10:52:25,1456915943.0,1456915945.0,2.0,201.0,1/2,link down,NorthRoute_TPE_CHI_TpeMLXe8,2016-3-02 10:50:43,100.0,8.76236,12.1674
2016-03-02 10:52:25,2016 Mar  2 10:52:26,1456915945.0,1456915946.0,1.0,0.0,1/2,link down,NorthRoute_TPE_CHI_TpeMLXe8,2016-3-02 10:50:43,102.0,8.76236,12.1674
2016-03-02 10:52:26,2016 Mar  2 10:52:26,1456915946.0,1456915946.0,0.0,0.0,1/2,link down,NorthRoute_TPE_CHI_TpeMLXe8,2016-3-02 10:50:43,103.0,8.76236,12.1674
2016-03-02 10:52:27,2016 Mar  2 10:52:27,1456915947.0,1456915947.0,0.0,1.0,1/2,local fault,NorthRoute_TPE_CHI_TpeMLXe8,2016-3-02 10:50:43,104.0,8.76236,12.1674
2016-03-02 10:52:28,2016 Mar  2 10:52:28,1456915948.0,1456915948.0,0.0,1.0,1/2,link down,NorthRoute_TPE_CHI_TpeMLXe8,2016-3-02 10:50:43,105.0,8.76236,12.1674
2016-03-02 10:52:29,2016 Mar  2 10:52:29,1456915949.0,1456915949.0,0.0,1.0,1/2,local fault,NorthRoute_TPE_CHI_TpeMLXe8,2016-3-02 10:50:43,106.0,8.76236,12.1674
2016-03-02 10:52:30,2016 Mar  2 10:52:31,1456915950.0,1456915951.0,1.0,1.0,1/2,link down,NorthRoute_TPE_CHI_TpeMLXe8,2016-3-02 10:50:43,107.0,8.76236,12.1674
2016-03-02 10:52:31,2016 Mar  2 10:52:32,1456915951.0,1456915952.0,1.0,0.0,1/2,link down,NorthRoute_TPE_CHI_TpeMLXe8,2016-3-02 10:50:43,108.0,8.76236,12.1674
2016-03-02 10:52:33,2016 Mar  2 10:52:33,1456915953.0,1456915953.0,0.0,1.0,1/2,link down,NorthRoute_TPE_CHI_TpeMLXe8,2016-3-02 10:50:43,110.0,8.76236,12.1674
2016-03-02 10:52:34,2016 Mar  2 10:52:34,1456915954.0,1456915954.0,0.0,1.0,1/2,local fault,NorthRoute_TPE_CHI_TpeMLXe8,2016-3-02 10:50:43,111.0,8.76236,12.1674
2016-03-02 10:52:35,2016 Mar  2 10:52:36,1456915955.0,1456915956.0,1.0,1.0,1/2,link down,NorthRoute_TPE_CHI_TpeMLXe8,2016-3-02 10:50:43,112.0,8.76236,12.1674
2016-03-08 10:33:08,2016 Mar  8 10:33:08,1457433188.0,1457433188.0,0.0,517232.0,1/2,link down,NorthRoute_TPE_CHI_TpeMLXe8,2016-3-08 10:32:06,62.0,48.5976,23.8211
2016-03-08 17:29:32,2016 Mar  8 17:36:15,1457458172.0,1457458575.0,403.0,24984.0,1/2,lacp block,NorthRoute_TPE_CHI_TpeMLXe8,2016-3-08 17:27:55,97.0,15.9741,339.025
2016-03-10 00:50:39,2016 Mar 10 00:59:53,1457571039.0,1457571593.0,554.0,112464.0,1/2,link down,NorthRoute_TPE_CHI_TpeMLXe8,2016-3-10 00:47:13,206.0,8.00903,23.344
2016-03-25 11:29:38,2016 Mar 25 11:30:44,1458905378.0,1458905444.0,66.0,1333785.0,1/2,disabled,NorthRoute_TPE_CHI_TpeMLXe8,2016-3-25 11:29:13,25.0,7.07206,72.4796
2016-03-25 15:23:02,2016 Mar 25 15:33:54,1458919382.0,1458920034.0,652.0,13938.0,1/2,local fault,NorthRoute_TPE_CHI_TpeMLXe8,2016-3-25 15:22:34,28.0,36.6296,85.9862
2016-03-25 15:34:08,2016 Mar 25 15:34:08,1458920048.0,1458920048.0,0.0,14.0,1/2,link down,NorthRoute_TPE_CHI_TpeMLXe8,2016-3-25 15:30:57,191.0,0.0,0.0
2016-03-25 15:56:30,2016 Mar 25 15:56:33,1458921390.0,1458921393.0,3.0,1342.0,1/2,link down,NorthRoute_TPE_CHI_TpeMLXe8,2016-3-25 15:55:57,33.0,25.5788,153.995
2016-03-25 15:56:34,2016 Mar 25 15:56:36,1458921394.0,1458921396.0,2.0,1.0,1/2,link down,NorthRoute_TPE_CHI_TpeMLXe8,2016-3-25 15:55:57,37.0,25.5788,153.995
2016-03-25 16:54:08,2016 Mar 25 16:54:08,1458924848.0,1458924848.0,0.0,3452.0,1/2,link down,NorthRoute_TPE_CHI_TpeMLXe8,2016-3-25 16:50:08,240.0,5.01905,70.2072
2016-03-25 16:54:08,2016 Mar 25 16:54:09,1458924848.0,1458924849.0,1.0,0.0,1/2,link down,NorthRoute_TPE_CHI_TpeMLXe8,2016-3-25 16:50:08,240.0,5.01905,70.2072
2016-03-28 15:10:29,2016 Mar 28 15:10:31,1459177829.0,1459177831.0,2.0,252980.0,1/2,link down,NorthRoute_TPE_CHI_TpeMLXe8,2016-3-28 15:06:45,224.0,15.5025,121.047
2016-03-28 21:25:49,2016 Mar 28 21:25:51,1459200349.0,1459200351.0,2.0,22518.0,1/2,link down,NorthRoute_TPE_CHI_TpeMLXe8,2016-3-28 21:21:44,245.0,13.0895,33.8657
2016-04-14 07:41:02,2016 Apr 14 07:43:58,1460619662.0,1460619838.0,176.0,1419311.0,1/2,link down,NorthRoute_TPE_CHI_TpeMLXe8,2016-4-14 07:40:12,50.0,391.054,415.743
2016-05-03 16:10:19,2016 May  3 16:11:57,1462291819.0,1462291917.0,98.0,1671981.0,1/2,disabled,NorthRoute_TPE_CHI_TpeMLXe8,2016-5-03 16:08:09,130.0,474.046,491.343
2016-05-05 14:31:58,2016 May  5 14:31:59,1462458718.0,1462458719.0,1.0,166801.0,1/2,link down,NorthRoute_TPE_CHI_TpeMLXe8,2016-5-05 14:28:14,224.0,236.681,121.937
2016-05-18 09:43:47,2016 May 18 10:36:19,1463564627.0,1463567779.0,3152.0,1105908.0,1/2,link down,NorthRoute_TPE_CHI_TpeMLXe8,2016-5-18 09:42:16,91.0,231.753,87.7771
2016-05-28 09:07:10,2016 May 28 23:37:37,1464426430.0,1464478657.0,52227.0,858651.0,1/2,local fault,NorthRoute_TPE_CHI_TpeMLXe8,2016-5-28 09:05:11,119.0,66.8448,20.6111
2016-05-29 00:01:26,2016 May 29 01:18:35,1464480086.0,1464484715.0,4629.0,1429.0,1/2,local fault,NorthRoute_TPE_CHI_TpeMLXe8,2016-5-28 23:57:38,228.0,9.30022,31.8253
2016-05-30 19:53:48,2016 May 30 19:53:49,1464638028.0,1464638029.0,1.0,153313.0,1/2,disabled,NorthRoute_TPE_CHI_TpeMLXe8,2016-5-30 19:53:34,14.0,156.739,129.052
2016-05-30 19:55:22,2016 May 30 19:55:25,1464638122.0,1464638125.0,3.0,93.0,1/2,disabled,NorthRoute_TPE_CHI_TpeMLXe8,2016-5-30 19:53:34,108.0,156.739,129.052
2016-06-04 15:03:13,2016 Jun  4 15:17:37,1465052593.0,1465053457.0,864.0,414468.0,1/2,local fault,NorthRoute_TPE_CHI_TpeMLXe8,2016-6-04 14:58:56,257.0,820.798,136.536
2016-06-04 15:17:38,2016 Jun  4 15:18:55,1465053458.0,1465053535.0,77.0,1.0,1/2,local fault,NorthRoute_TPE_CHI_TpeMLXe8,2016-6-04 15:13:12,266.0,0.0,0.0
2016-06-04 15:41:50,2016 Jun  4 15:41:50,1465054910.0,1465054910.0,0.0,1375.0,1/2,local fault,NorthRoute_TPE_CHI_TpeMLXe8,2016-6-04 15:41:01,49.0,15.8625,31.3512
2016-06-04 16:20:30,2016 Jun  4 16:20:31,1465057230.0,1465057231.0,1.0,2320.0,1/2,local fault,NorthRoute_TPE_CHI_TpeMLXe8,2016-6-04 16:18:07,143.0,58.0817,689.298
2016-06-04 16:20:38,2016 Jun  4 16:20:40,1465057238.0,1465057240.0,2.0,7.0,1/2,local fault,NorthRoute_TPE_CHI_TpeMLXe8,2016-6-04 16:18:07,151.0,58.0817,689.298
2016-06-28 15:35:56,2016 Jun 28 15:35:57,1467128156.0,1467128157.0,1.0,2070916.0,1/2,link down,NorthRoute_TPE_CHI_TpeMLXe8,2016-6-28 15:32:36,200.0,9.429,303.545
2016-06-28 15:35:58,2016 Jun 28 15:36:01,1467128158.0,1467128161.0,3.0,1.0,1/2,link down,NorthRoute_TPE_CHI_TpeMLXe8,2016-6-28 15:32:36,202.0,9.429,303.545
2016-06-30 15:12:58,2016 Jun 30 15:13:41,1467299578.0,1467299621.0,43.0,171417.0,1/2,lacp block,NorthRoute_TPE_CHI_TpeMLXe8,2016-6-30 15:07:48,310.0,99.4248,33.4605
