startT,endT,startT_sec,endT_sec,duration,interval,interface,    reason,route,netlogtime,nettimediff,netinput,netoutput
2016-01-21 11:06:14,2016 Jan 21 11:06:14,1453374374.0,1453374374.0,0.0,0.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4,2016-1-21 11:06:12,2.0,0.0878952,1.4411
2016-02-09 09:42:15,2016 Feb  9 09:42:16,1455010935.0,1455010936.0,1.0,1636561.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4,2016-2-09 09:40:19,116.0,5.62605,3.60586
2016-02-09 09:42:19,2016 Feb  9 09:42:19,1455010939.0,1455010939.0,0.0,3.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4,2016-2-09 09:40:19,120.0,5.62605,3.60586
2016-02-09 09:42:20,2016 Feb  9 09:42:21,1455010940.0,1455010941.0,1.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4,2016-2-09 09:40:19,121.0,5.62605,3.60586
2016-02-09 09:42:22,2016 Feb  9 09:42:22,1455010942.0,1455010942.0,0.0,1.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4,2016-2-09 09:40:19,123.0,5.62605,3.60586
2016-02-10 14:01:27,2016 Feb 10 14:19:27,1455112887.0,1455113967.0,1080.0,101945.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4,2016-2-10 13:58:49,158.0,48.9634,45.6921
2016-02-10 14:19:45,2016 Feb 10 14:19:48,1455113985.0,1455113988.0,3.0,18.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4,2016-2-10 14:18:12,93.0,0.0,0.0
2016-02-10 14:20:12,2016 Feb 10 14:20:14,1455114012.0,1455114014.0,2.0,24.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4,2016-2-10 14:18:12,120.0,0.0,0.0
2016-02-13 02:26:58,2016 Feb 13 02:28:32,1455330418.0,1455330512.0,94.0,216404.0,1/2,local fault,SouthRoute_CHI_TPE_ChiMLXe4,2016-2-13 02:25:50,68.0,56.993,14.4942
2016-02-20 22:06:08,2016 Feb 21 05:58:24,1456005968.0,1456034304.0,28336.0,675456.0,1/2,link down,SouthRoute_CHI_TPE_ChiMLXe4,2016-2-20 22:05:09,59.0,69.5051,24.8765
