startT,endT,startT_sec,endT_sec,duration,interval,interface,reason,route
2016 Mar 22 12:13:03,2016 Mar 22 12:14:58,1458648783.0,1458648898.0,115.0,1119315.0,1/3,link down,NorthRoute_CHI_AMS_ChiMLXe4
2016 Mar 22 12:17:38,2016 Mar 22 12:18:11,1458649058.0,1458649091.0,33.0,160.0,1/3,link down,NorthRoute_CHI_AMS_ChiMLXe4
2016 Apr  7 09:36:19,2016 Apr  7 12:09:17,1460021779.0,1460030957.0,9178.0,1372688.0,1/3,link down,NorthRoute_CHI_AMS_ChiMLXe4
2016 Apr  7 14:20:15,2016 Apr  7 14:21:53,1460038815.0,1460038913.0,98.0,7858.0,1/3,disabled,NorthRoute_CHI_AMS_ChiMLXe4
2016 Apr 14 09:36:50,2016 Apr 14 10:56:28,1460626610.0,1460631388.0,4778.0,587697.0,1/3,local fault,NorthRoute_CHI_AMS_ChiMLXe4
2016 May  6 09:29:53,2016 May  6 09:58:47,1462526993.0,1462528727.0,1734.0,1895605.0,1/3,local fault,NorthRoute_CHI_AMS_ChiMLXe4
2016 May  6 10:00:29,2016 May  6 10:00:31,1462528829.0,1462528831.0,2.0,102.0,1/3,link down,NorthRoute_CHI_AMS_ChiMLXe4
2016 May  6 10:12:37,2016 May  6 10:12:38,1462529557.0,1462529558.0,1.0,726.0,1/3,link down,NorthRoute_CHI_AMS_ChiMLXe4
2016 May  6 10:59:41,2016 May  6 11:00:04,1462532381.0,1462532404.0,23.0,2823.0,1/3,disabled,NorthRoute_CHI_AMS_ChiMLXe4
2016 May 14 12:06:54,2016 May 14 12:07:19,1463227614.0,1463227639.0,25.0,695210.0,1/3,link down,NorthRoute_CHI_AMS_ChiMLXe4
2016 May 14 12:07:19,2016 May 14 12:07:45,1463227639.0,1463227665.0,26.0,0.0,1/3,lacp block,NorthRoute_CHI_AMS_ChiMLXe4
2016 Jun 16 16:31:30,2016 Jun 16 16:31:31,1466094690.0,1466094691.0,1.0,2867025.0,1/3,local fault,NorthRoute_CHI_AMS_ChiMLXe4
2016 Jun 28 06:10:48,2016 Jun 28 06:16:41,1467094248.0,1467094601.0,353.0,999557.0,1/13,link down,NorthRoute_CHI_AMS_ChiMLXe4
2016 Jun 28 06:17:04,2016 Jun 28 06:17:36,1467094624.0,1467094656.0,32.0,23.0,1/13,link down,NorthRoute_CHI_AMS_ChiMLXe4
2016 Jun 28 06:17:36,2016 Jun 28 06:17:37,1467094656.0,1467094657.0,1.0,0.0,1/13,link down,NorthRoute_CHI_AMS_ChiMLXe4
2016 Jun 28 06:36:27,2016 Jun 28 07:36:40,1467095787.0,1467099400.0,3613.0,1130.0,1/13,local fault,NorthRoute_CHI_AMS_ChiMLXe4
2016 Jun 28 07:36:44,2016 Jun 28 07:38:57,1467099404.0,1467099537.0,133.0,4.0,1/13,local fault,NorthRoute_CHI_AMS_ChiMLXe4
2016 Jun 28 07:38:58,2016 Jun 28 07:38:58,1467099538.0,1467099538.0,0.0,1.0,1/13,link down,NorthRoute_CHI_AMS_ChiMLXe4
2016 Jul  1 03:43:35,2016 Jul  1 03:45:32,1467344615.0,1467344732.0,117.0,245077.0,1/13,local fault,NorthRoute_CHI_AMS_ChiMLXe4
2016 Jul  8 17:34:25,2016 Jul  8 17:34:25,1467999265.0,1467999265.0,0.0,654533.0,1/13,local fault,NorthRoute_CHI_AMS_ChiMLXe4
