startT,endT,startT_sec,endT_sec,duration,interval,interface,reason,route
2016 Mar 22 10:00:33,2016 Mar 22 10:02:45,1458640833.0,1458640965.0,132.0,991665.0,1/4,link down,SouthRoute_CHI_AMS_ChiMLXe4
2016 Mar 22 10:02:46,2016 Mar 22 11:30:28,1458640966.0,1458646228.0,5262.0,1.0,1/4,local fault,SouthRoute_CHI_AMS_ChiMLXe4
2016 Mar 22 11:51:02,2016 Mar 22 20:09:35,1458647462.0,1458677375.0,29913.0,1234.0,1/4,link down,SouthRoute_CHI_AMS_ChiMLXe4
2016 Mar 22 20:10:14,2016 Mar 22 20:10:14,1458677414.0,1458677414.0,0.0,39.0,1/4,link down,SouthRoute_CHI_AMS_ChiMLXe4
2016 Mar 22 20:10:14,2016 Mar 22 20:10:15,1458677414.0,1458677415.0,1.0,0.0,1/4,link down,SouthRoute_CHI_AMS_ChiMLXe4
2016 Mar 22 20:10:15,2016 Mar 22 20:10:16,1458677415.0,1458677416.0,1.0,0.0,1/4,link down,SouthRoute_CHI_AMS_ChiMLXe4
2016 Mar 22 20:10:17,2016 Mar 22 20:10:17,1458677417.0,1458677417.0,0.0,1.0,1/4,link down,SouthRoute_CHI_AMS_ChiMLXe4
2016 Mar 22 20:25:38,2016 Mar 22 20:25:39,1458678338.0,1458678339.0,1.0,921.0,1/4,link down,SouthRoute_CHI_AMS_ChiMLXe4
2016 Mar 22 20:25:39,2016 Mar 22 20:25:39,1458678339.0,1458678339.0,0.0,0.0,1/4,link down,SouthRoute_CHI_AMS_ChiMLXe4
2016 Mar 22 20:26:23,2016 Mar 22 20:26:23,1458678383.0,1458678383.0,0.0,44.0,1/4,local fault,SouthRoute_CHI_AMS_ChiMLXe4
2016 Apr  1 14:00:44,2016 Apr  1 14:00:44,1459519244.0,1459519244.0,0.0,840861.0,1/4,local fault,SouthRoute_CHI_AMS_ChiMLXe4
2016 Apr  1 14:00:49,2016 Apr  1 14:00:50,1459519249.0,1459519250.0,1.0,5.0,1/4,local fault,SouthRoute_CHI_AMS_ChiMLXe4
2016 Apr  1 14:00:51,2016 Apr  1 14:00:52,1459519251.0,1459519252.0,1.0,1.0,1/4,local fault,SouthRoute_CHI_AMS_ChiMLXe4
